episode,1,2,3,4,5,6,7
1,8.7,8.3,7.6,9.1,8.0,7.9,7.8
2,8.1,7.8,8.5,7.8,9.6,7.2,7.6
3,8.3,8.1,7.4,8.3,7.4,7.8,7.5
4,8.3,8.4,9.0,7.8,8.0,7.3,7.3
5,8.0,7.8,8.8,8.7,7.7,7.3,7.1
6,8.4,8.1,7.3,7.6,7.8,8.7,7.0
7,8.0,7.8,8.5,7.7,8.4,9.4,7.5
8,8.1,8.2,7.2,8.9,8.8,7.4,7.7
9,8.2,8.1,7.6,7.8,9.2,7.9,7.3
10,,7.6,9.5,7.0,8.9,8.4,7.6
11,,7.6,7.8,7.7,8.3,7.3,7.6
12,,7.7,8.2,8.3,7.7,7.5,7.2
13,,8.2,7.4,,7.3,6.5,7.3
14,,8.2,8.3,,7.8,7.5,7.3
15,,7.6,7.7,,7.6,7.7,8.0
16,,7.9,,,9.2,7.6,7.4
17,,7.7,,,,8.1,6.7
18,,8.6,,,,7.6,7.3
19,,7.9,,,,6.9,6.9
20,,8.6,,,,7.4,7.1
21,,,,,,7.4,7.2
22,,,,,,7.3,7.1
23,,,,,,7.8,8.4
24,,,,,,7.7,8.5
25,,,,,,8.0,8.0
26,,,,,,8.0,9.4
